season,team,pts_diff,shot_diff,future_margin
2023,Hawthorn,-21.272727272727273,-3.5454545454545454,-15.083333333333334
2023,Melbourne,25.545454545454547,4.181818181818182,11.5
2023,North Melbourne,-34.72727272727273,-8.363636363636363,-23.25
2023,Port Adelaide,9.454545454545455,5.363636363636363,11.583333333333334
2023,Richmond,-1.2727272727272727,-1.7272727272727273,-9.416666666666666
2023,St Kilda,11.454545454545455,1.4545454545454546,0.16666666666666666
2023,Sydney,1.0,1.4545454545454546,14.666666666666666
2023,West Coast,-51.54545454545455,-11.545454545454545,-57.416666666666664
2023,Western Bulldogs,5.0,2.272727272727273,8.166666666666666
2024,Adelaide,9.636363636363637,-0.8181818181818182,-10.25
2024,Brisbane Lions,8.727272727272727,4.181818181818182,23.916666666666668
2024,Carlton,4.363636363636363,2.090909090909091,12.583333333333334
2024,Collingwood,5.7272727272727275,3.4545454545454546,-1.25
2024,Essendon,3.5454545454545454,-0.09090909090909091,-14.25
2024,Fremantle,7.363636363636363,1.9090909090909092,10.666666666666666
2024,Geelong,9.0,1.2727272727272727,11.416666666666666
2024,Gold Coast,6.818181818181818,2.727272727272727,-7.75
2024,Greater Western Sydney,11.636363636363637,0.7272727272727273,3.5
2024,Hawthorn,-15.272727272727273,-2.090909090909091,41.25
2024,Melbourne,11.909090909090908,2.8181818181818183,-13.166666666666666
2024,North Melbourne,-52.09090909090909,-14.363636363636363,-29.833333333333332
2024,Port Adelaide,13.545454545454545,5.818181818181818,9.166666666666666
2024,Richmond,-39.45454545454545,-8.545454545454545,-35.416666666666664
2024,St Kilda,-7.545454545454546,-2.5454545454545454,6.083333333333333
2024,Sydney,34.36363636363637,5.7272727272727275,7.916666666666667
2024,West Coast,-28.545454545454547,-7.181818181818182,-35.916666666666664
2024,Western Bulldogs,16.272727272727273,4.909090909090909,21.333333333333332
2025,Adelaide,23.727272727272727,3.727272727272727,31.833333333333332
2025,Brisbane Lions,10.272727272727273,2.5454545454545454,12.0
2025,Carlton,2.1818181818181817,1.7272727272727273,-7.166666666666667
2025,Collingwood,22.90909090909091,6.545454545454546,9.333333333333334
2025,Essendon,-13.636363636363637,-3.6363636363636362,-43.666666666666664
2025,Fremantle,4.545454545454546,1.8181818181818181,9.416666666666666
2025,Geelong,18.0,3.0,42.75
2025,Gold Coast,21.272727272727273,5.818181818181818,16.583333333333332
2025,Greater Western Sydney,7.818181818181818,0.09090909090909091,16.166666666666668
2025,Hawthorn,13.636363636363637,2.727272727272727,17.0
2025,Melbourne,-9.727272727272727,-0.18181818181818182,-2.4166666666666665
2025,North Melbourne,-22.272727272727273,-6.363636363636363,-26.25
2025,Port Adelaide,-20.09090909090909,-4.181818181818182,-17.5
2025,Richmond,-29.90909090909091,-7.636363636363637,-34.916666666666664
2025,St Kilda,-9.272727272727273,-2.909090909090909,-11.333333333333334
2025,Sydney,-5.818181818181818,-0.8181818181818182,0.5833333333333334
2025,West Coast,-38.18181818181818,-9.090909090909092,-46.0
2025,Western Bulldogs,21.90909090909091,6.0,36.0
2026,Adelaide,6.545454545454546,0.6363636363636364,20.666666666666668
2026,Brisbane Lions,6.363636363636363,2.272727272727273,31.25
2026,Carlton,-13.0,-1.6363636363636365,14.333333333333334
2026,Collingwood,0.2727272727272727,-0.6363636363636364,3.6666666666666665
2026,Essendon,-31.90909090909091,-6.909090909090909,-43.75
2026,Fremantle,25.09090909090909,6.0,28.666666666666668
2026,Geelong,20.272727272727273,4.818181818181818,17.25
2026,Gold Coast,14.454545454545455,2.1818181818181817,-23.0
2026,Greater Western Sydney,-1.2727272727272727,1.0,-0.6666666666666666
2026,Hawthorn,9.090909090909092,5.0,23.25
2026,Melbourne,6.363636363636363,0.45454545454545453,11.0
2026,North Melbourne,-2.3636363636363638,-1.4545454545454546,-18.083333333333332
2026,Port Adelaide,0.7272727272727273,1.1818181818181819,-21.083333333333332
2026,Richmond,-36.63636363636363,-9.363636363636363,-40.583333333333336
2026,St Kilda,6.909090909090909,1.4545454545454546,-1.6666666666666667
2026,Sydney,32.81818181818182,5.090909090909091,26.083333333333332
2026,West Coast,-37.0,-7.0,-25.916666666666668
2026,Western Bulldogs,-6.7272727272727275,-3.090909090909091,-1.4166666666666667
